Scenario;Time Step;CES_EUR_Nom_Spot_1;CES_EUR_Nom_Spot_2;CES_EUR_Nom_Spot_3;CES_EUR_Nom_Spot_4;CES_EUR_Nom_Spot_5;CES_EUR_Nom_Spot_6;CES_EUR_Nom_Spot_7;CES_EUR_Nom_Spot_8;CES_EUR_Nom_Spot_9;CES_EUR_Nom_Spot_10;CES_EUR_Nom_Spot_11;CES_EUR_Nom_Spot_12;CES_EUR_Nom_Spot_13;CES_EUR_Nom_Spot_14;CES_EUR_Nom_Spot_15;CES_EUR_Nom_Spot_16;CES_EUR_Nom_Spot_17;CES_EUR_Nom_Spot_18;CES_EUR_Nom_Spot_19;CES_EUR_Nom_Spot_20;CES_EUR_Nom_Spot_21;CES_EUR_Nom_Spot_22;CES_EUR_Nom_Spot_23;CES_EUR_Nom_Spot_24;CES_EUR_Nom_Spot_25;CES_EUR_Nom_Spot_26;CES_EUR_Nom_Spot_27;CES_EUR_Nom_Spot_28;CES_EUR_Nom_Spot_29;CES_EUR_Nom_Spot_30;CES_EUR_Nom_Spot_31;CES_EUR_Nom_Spot_32;CES_EUR_Nom_Spot_33;CES_EUR_Nom_Spot_34;CES_EUR_Nom_Spot_35;CES_EUR_Nom_Spot_36;CES_EUR_Nom_Spot_37;CES_EUR_Nom_Spot_38;CES_EUR_Nom_Spot_39;CES_EUR_Nom_Spot_40;CES_EUR_Nom_Deflator_Ind;CES_EUR_Nom_CashAccount_Ind
1;0;0,0233599999999996;0,0219244445701545;0,0219296296871272;0,0222009124876204;0,0224203674012751;0,0227045487939015;0,0229799311086354;0,0232249160125628;0,0234280750242415;0,0236780688968687;0,0238625308889457;0,0240836427737106;0,0241789249195115;0,0242759284326357;0,0243266660209929;0,0241608335249051;0,0240204502732448;0,0238806982393553;0,0237288730722776;0,0235898500496559;0,023400049752361;0,0231463651023656;0,022854437168613;0,0225501494549325;0,0222724722642413;0,0219557719433345;0,0217185278943162;0,0214412922297975;0,0212040116928083;0,0209797489022185;0,0207746362470087;0,0205871958931179;0,0204100765483581;0,0202370609768583;0,0200628514564631;0,0198829030817329;0,0196932943577346;0,0194906271356159;0,019271949823729;0,0190346991726682;1;1
1;1;0,0204909029178579;0,021215194426657;0,0218148417939503;0,02218559408809;0,0225735089384327;0,022916600018225;0,0232056197557307;0,0234365847206703;0,0237134159872237;0,0239127975483391;0,024149453848799;0,0242471982364205;0,0243464184117441;0,0243957485242536;0,0242142447036224;0,0240617425648915;0,0239113357968914;0,0237493699188536;0,0236019488506467;0,0234020522811218;0,0231361931244991;0,0228314629752124;0,022514953103413;0,0222271836978105;0,0218996429170608;0,0216554469594565;0,0213702981066157;0,0211270961745154;0,0208977700965358;0,0206885700343737;0,0204978757941974;0,0203180285860332;0,0201425753794293;0,0199660374830299;0,0197837312435534;0,019591629179851;0,0193862527900412;0,0191645903743232;0,0189240347376023;0,01866534134774;0,977173233270795;1,02336
1;2;0,021939999999999;0,0224774551997637;0,0227511163165086;0,0230948241922906;0,0234024309032468;0,0236587741543708;0,0238580899421268;0,0241169449680398;0,0242937156469822;0,0245160295600662;0,0245893644741308;0,0246683681283542;0,024696739420855;0,0244807169329206;0,0243002423204006;0,0241254931091459;0,0239413681370624;0,0237750625573403;0,0235555005066279;0,0232686374849085;0,0229430520198732;0,0226070507107121;0,0223027411427634;0,0219583826011149;0,0217020563528139;0,0214041361280473;0,0211506665029475;0,0209123040670041;0,020695386824694;0,0204981082242293;0,0203124524822935;0,020131692059866;0,0199501366846835;0,0197629394969061;0,0195659472920422;0,0193555851392204;0,0191287680233971;0,0188828338686569;0,0186185750439152;0,0183482077122337;0,957552125625808;1,04432957041002
1;3;0,0230151930561342;0,0231569158622256;0,0234800555141519;0,0237683655103285;0,024002875721137;0,0241781214249122;0,0244283154350151;0,0245883110139342;0,0248026555986949;0,0248546783922226;0,0249167625016185;0,0249268031029821;0,0246764181336876;0,024469039498382;0,0242713587201457;0,0240665837050769;0,0238831099732981;0,0236453253778059;0,0233386136037854;0,0229932304563081;0,0226388258884347;0,0223192324354704;0,0219591818521425;0,0216921432365635;0,0213827074186437;0,0211203197006931;0,0208742611085155;0,0206509643997907;0,0204484241203307;0,0202582455620117;0,0200734128501856;0,0198880159270607;0,0196970404160943;0,0194962057654238;0,0192818408296809;0,0190507887360771;0,0188003348099086;0,0185313150556787;0,0182562766599748;0,017987863928318;0,936994467019403;1,06724216118481
1;4;0,023298658301802;0,0237125659504673;0,0240195461986097;0,0242499453468217;0,0244108656878241;0,0246640255354751;0,0248132395355565;0,0250263079006621;0,0250592697148115;0,0251071137417618;0,0251007628603432;0,0248149752623619;0,0245809593815243;0,0243611438389952;0,0241367148223961;0,023937379222696;0,0236824040698389;0,0233565844096906;0,0229920745430627;0,0226200111651911;0,022286103265853;0,0219112072518397;0,0216346581620492;0,0213147437458692;0,0210445978129401;0,0207920071090035;0,0205635053828539;0,0203568730060495;0,0201633110386952;0,0199754993344352;0,0197872985573542;0,0195935217461987;0,0193897589593204;0,0191722428473864;0,0189377460659077;0,0186835036310247;0,0184104023091789;0,0181313414223858;0,0178592834308311;0,0176042362196676;0,91591451757451;1,09180494556213
1;5;0,0241266410180385;0,0243801805673598;0,0245672375085872;0,0246891063644215;0,0249373175183829;0,0250658875973255;0,0252733529788138;0,025279559023635;0,0253082504187501;0,0252811477742174;0,0249529336237311;0,0246878903088825;0,0244429191746707;0,0241966022590903;0,02397997478981;0,0237063929579753;0,0233599919299152;0,0229750448055122;0,0225843053649279;0,0222355018228111;0,0218451850975692;0,02155908611733;0,0212285738959843;0,020950786451551;0,0206918688785342;0,0204584533172349;0,0202480805579015;0,0200515121987246;0,0198611003316085;0,0196704609716034;0,0194742248320678;0,0192678467493994;0,0190474600494464;0,0188097656707011;0,0185519483652863;0,0182749512660489;0,0179920469452011;0,0177165331100504;0,0174586428274393;0,0172261577850532;0,89506080179417;1,117242535921
1;6;0,0246337828846048;0,0247876068307709;0,0248766634524402;0,0251400868914435;0,0252538402560827;0,0254645964305957;0,0254443675132976;0,0254560474192429;0,0254095066144651;0,0250355995425451;0,0247389282210502;0,0244692800962618;0,0242019840909711;0,0239694994344195;0,0236783825528994;0,0233120954217876;0,0229073441926542;0,0224986881887645;0,022136064972972;0,0217312458092729;0,0214369822871376;0,0210970386048022;0,0208129294445705;0,0205490036350811;0,0203119994060794;0,0200991988545194;0,0199008933080664;0,0197090886176379;0,0195171459095296;0,019319508819212;0,0191114958347229;0,0188891421945561;0,0186490798646977;0,0183884470039664;0,0181082523402298;0,0178221671229555;0,0175438449200689;0,01728375671325;0,0170498350327475;0,0168480300393055;0,873974727290006;1,14419784551525
1;7;0,0249414538698769;0,0249981253252811;0,0253089104833633;0,0254089132194382;0,0256308399610938;0,0255795272815653;0,0255735676354383;0,0255065133647336;0,0250802555635909;0,0247494433481126;0,0244543266070005;0,0241660090730436;0,0239184185491801;0,0236101737703593;0,023224043565873;0,0227995384109561;0,0223732330249895;0,0219974815279724;0,0215787086652379;0,021277404329642;0,0209289270485786;0,0206395932263834;0,0203717744053418;0,0201323212181894;0,0199182335022003;0,0197192963287598;0,0195271477957408;0,0193348821901924;0,0191367504150219;0,0189279330684882;0,0187043684102042;0,0184626222098578;0,0181997898186625;0,0179169554057157;0,0176282163441686;0,017347604072643;0,0170858408098462;0,0168510173206795;0,0166491751951625;0,0164847981406409;0,852963021411948;1,1723837668187
1;8;0,025054799914185;0,0254926881891337;0,0255647803757595;0,0258032589229886;0,0257071896236136;0,025678957824758;0,0255872615761095;0,0250976070969231;0,0247281110662418;0,0244056266160497;0,0240955431898513;0,0238332117126501;0,0235078392602777;0,0231014815754313;0,0226569033029587;0,0222129330602336;0,0218245702596749;0,0213922133167845;0,0210849228683767;0,0207287135698273;0,0204351936890641;0,0201645464792852;0,0199237411321551;0,0197094677523297;0,0195109643636382;0,0193194774048477;0,0191278213982875;0,0189300487003889;0,0187212007683215;0,0184971205095359;0,018254310888149;0,0179898288674867;0,0177048450273281;0,0174139129044986;0,0171314656518273;0,0168684909431276;0,0166332454804443;0,0164318656986486;0,0162688807680704;0,0161476386433175;0,832206579401595;1,2016247224566
1;9;0,025930763523488;0,0258198657448174;0,0260528666836635;0,0258703519171113;0,0258038350055891;0,0256760320728202;0,0251037225546729;0,0246872822816544;0,0243335216324592;0,0239996669038069;0,0237222304544402;0,0233790313020816;0,0229513805827879;0,0224858397733072;0,0220237556472189;0,0216230192255895;0,0211771750469347;0,0208648254960586;0,0205015312405041;0,020204760661934;0,0199322600801561;0,0196911224281575;0,0194776953670064;0,0192806230133336;0,0190907331731203;0,0189005463528846;0,01870391021241;0,018495726019699;0,0182717434321054;0,018028406589518;0,017762739103155;0,01747601010301;0,0171832621463854;0,0168993558843207;0,0166355595460839;0,0164003037056597;0,0161998229111144;0,0160386921491225;0,0159202705068364;0,0158470662268266;0,81186545292141;1,23173118944969
